trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
285,False,"{'a': 0.05702042635437178, 'e': 0.05702042635437178}",25,17,13.091958214627928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.05645022209082806, 'e': 0.05645022209082806}",30,20,14.948894618279827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.05588571986991978, 'e': 0.05588571986991978}",20,13,0.8890964570682736,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.055326862671220584, 'e': 0.055326862671220584}",20,7,2.252549597799472,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
289,False,"{'a': 0.05477359404450838, 'e': 0.05477359404450838}",20,0,27.947954932299176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.054225858104063294, 'e': 0.054225858104063294}",25,17,15.39393427701355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.05368359952302266, 'e': 0.05368359952302266}",25,20,7.360673762537436,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.053146763527792434, 'e': 0.053146763527792434}",20,11,17.46174354946904,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.052615295892514506, 'e': 0.052615295892514506}",20,0,21.337870412069893,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.052089142933589364, 'e': 0.052089142933589364}",25,19,12.475815489330454,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.05156825150425347, 'e': 0.05156825150425347}",25,17,13.586957631752215,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.051052568989210935, 'e': 0.051052568989210935}",25,7,25.854112248730083,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.05054204329931883, 'e': 0.05054204329931883}",20,10,16.714598869293685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.05003662286632564, 'e': 0.05003662286632564}",20,13,15.331535242554667,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.04953625663766238, 'e': 0.04953625663766238}",20,10,18.631950063163202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,15.701973757088835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,12,39.70391445252838,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,1,29.380535440356137,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,1,28.622648950277135,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,20.566486623205783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,15,30.00971500082088,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,33.65683454923317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,16,9.996833139793203,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,14.21628427179745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,8.975913381577143,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
